Year,GP,Driver,Stint,Compound,Degradation,R2
2025,Monza,LEC,1.0,MEDIUM,0.11311503714322463,-34.7744143406523
2025,Monza,LEC,2.0,HARD,0.02281522885308846,-1.0752342935234598
