Year,GP,Driver,Stint,Compound,Degradation,R2
2024,Melbourne,16,1.0,MEDIUM,0.09297562510426709,0.8046241723199474
2024,Melbourne,16,2.0,HARD,0.01352758526548529,0.21591439170508897
2024,Melbourne,16,3.0,HARD,-0.05536126463616482,0.6279373945545699
