Year,GP,Driver,Stint,Compound,Degradation,R2
2024,Italian Grand Prix,LEC,1.0,MEDIUM,0.13072016342050713,0.939840942063889
2024,Italian Grand Prix,LEC,2.0,HARD,-0.0045914367493830426,0.3396373656403987
