Year,GP,Driver,Stint,Compound,Degradation,MAE_Sec
2024,China,LEC,1.0,MEDIUM,0.03967950836882042,0.26738108763302965
2024,China,LEC,2.0,HARD,0.0972742541301509,0.19863683634331436
