Year,GP,Driver,Stint,Compound,Degradation,MAE_Sec
2024,Monza,LEC,1.0,MEDIUM,0.10017754722200883,0.13860800403692863
2024,Monza,LEC,2.0,HARD,0.04835249802313171,0.19614873401689742
