Year,GP,Driver,Stint,Compound,Degradation,MAE_Sec
2023,Monza,LEC,1.0,MEDIUM,0.15891418047541253,0.22747243184272667
2023,Monza,LEC,2.0,HARD,0.09216024538024409,0.27920103602734025
